ATTENDANCE_LIST-
201114049,2023-04-18 22:41:34.864281
201114059,2023-04-20 15:18:33.434893
201114259,2023-04-20 15:20:18.206917
201114049,2023-04-20 18:06:23.336996
201114059,2023-04-20 18:06:27.331069
201114259,2023-04-20 18:06:32.464513
201114059,2023-04-21 02:33:46.169424
201114049,2023-04-21 10:23:18.825476
201114059,2023-04-21 10:23:29.222440
201114259,2023-04-21 10:23:38.262589
201114049,2023-04-21 11:10:19.876787
201114049,2023-04-21 11:16:25.900241
201114059,2023-04-21 11:16:27.578089
201114059,2023-04-21 11:16:38.768825
201114049,2023-04-21 11:30:56.778661
201114049,2023-04-21 11:31:01.786937
201114049,2023-04-21 11:56:08.053639
201114049,2023-04-21 11:56:13.072922
201114059,2023-04-21 11:56:17.609437
201114049,2023-04-21 12:05:37.387293
201114049,2023-04-21 12:06:06.865294
201114049,2023-04-21 12:06:30.116430
201114049,2023-04-21 12:42:52.107943
201114049,2023-04-21 12:42:57.129574
201114049,2023-04-21 12:43:16.599143
